News,Label,Cleaned Data
"['coronaviru', 'stori', 'need', 'know', 'today']",1,coronaviru stori need know today
"['patient', 'covid19', 'also', 'present', 'neurolog', 'disord', 'includ', 'encephalopathi', 'stroke', 'guillain', 'barr', 'syndrom', 'mean', 'howev', 'thi', 'point', 'unclear']",1,patient covid19 also present neurolog disord includ encephalopathi stroke guillain barr syndrom mean howev thi point unclear
"['yet', 'clear', 'airborn', 'viral', 'particl', 'emit', 'dose', 'suffici', 'caus', 'infect', 'said', 'expert', 'committe', 'nation', 'academi', 'scienc', 'engin', 'medicin']",1,yet clear airborn viral particl emit dose suffici caus infect said expert committe nation academi scienc engin medicin
"['coronaviru', 'stori', 'need', 'know', 'today']",1,coronaviru stori need know today
"['research', 'worldwid', 'collabor', 'almost', '60', 'gold', 'standard', 'clinic', 'trial', 'huge', 'research', 'effort', 'find', 'effect', 'treatment', 'covid19']",1,research worldwid collabor almost 60 gold standard clinic trial huge research effort find effect treatment covid19
"['62year', 'old', 'dermatologist', 'share', 'hi', 'stori', 'treat', 'covid19associ', 'pneumonia', 'still', 'oxygen', 'hospit']",1,62year old dermatologist share hi stori treat covid19associ pneumonia still oxygen hospit
"['clinician', 'advoc', 'say', 'transpar', 'critic', 'respond', 'effect', 'dure', 'pandem', 'gag', 'order', 'endang', 'health', 'clinician', 'gener', 'public']",1,clinician advoc say transpar critic respond effect dure pandem gag order endang health clinician gener public
"['registri', 'collect', 'pertin', 'data', 'better', 'understand', 'impact', 'covid19', 'cardiovascular', 'health']",1,registri collect pertin data better understand impact covid19 cardiovascular health
"['coronaviru', 'outbreak', 'ha', 'forc', 'million', 'work', 'feder', 'state', 'health', 'program', 'low', 'incom', 'peopl', 'could', 'face', 'unpreced', 'strain', 'mani', 'state', 'nt', 'necessarili', 'resourc', 'system', 'place', 'meet', 'demand']",1,coronaviru outbreak ha forc million work feder state health program low incom peopl could face unpreced strain mani state nt necessarili resourc system place meet demand
"['goal', 'tool', 'help', 'peopl', 'self', 'triag', 'find', 'symptom', 'may', 'consist', 'covid19']",1,goal tool help peopl self triag find symptom may consist covid19
"['order', 'shot', 'exponenti', 'march', 'sed', 'fentanyl', 'propofol', 'midazolam', 'order', 'fill', 'rate', 'drop']",1,order shot exponenti march sed fentanyl propofol midazolam order fill rate drop
"['n95', 'mask', 'consid', 'best', 'respir', 'mask', 'short', 'suppli', 'worldwid']",1,n95 mask consid best respir mask short suppli worldwid
"['sign', 'even', 'though', 'face', 'difficult', 'danger', 'situat']",1,sign even though face difficult danger situat
"['antibodi', 'test', 'ca', 'nt', 'use', 'diagnos', 'new', 'coronaviru', 'covid19', 'tell', 'ever', 'thi', 'help', 'health', 'offici', 'understand', 'fight', 'viru', 'learn', 'fast', 'blood', 'test', 'get', 'one']",1,antibodi test ca nt use diagnos new coronaviru covid19 tell ever thi help health offici understand fight viru learn fast blood test get one
"['stem', 'cell', 'placenta', 'use', 'thi', 'treatment']",1,stem cell placenta use thi treatment
"['mask', 'cut', 'growth', 'rate', 'death', 'much', '10', 'wa', 'abov', 'beyond', 'impact', 'polici', 'like', 'close', 'school', 'workplac', 'issu', 'stay', 'home', 'order']",1,mask cut growth rate death much 10 wa abov beyond impact polici like close school workplac issu stay home order
"['peopl', 'world', 'open', 'door', 'window', 'cheer', 'clap', 'health', 'care', 'worker', 'front', 'line', 'coronaviru', 'pandem']",1,peopl world open door window cheer clap health care worker front line coronaviru pandem
"['medic', 'first', 'respond', 'new', 'york', 'citi', 'order', 'take', 'patient', 'cardiac', 'arrest', 'hospit', 'unabl', 'restart', 'patient', 'heart', 'field']",1,medic first respond new york citi order take patient cardiac arrest hospit unabl restart patient heart field
"['hi', 'first', 'covid19', 'diari', 'entri', 'oncologist', 'dizon', 'discuss', 'persist', 'anxieti', 'healthcar', 'worker', 'face', 'coronaviru', 'outbreak', 'make', 'way', 'toward', 'center']",1,hi first covid19 diari entri oncologist dizon discuss persist anxieti healthcar worker face coronaviru outbreak make way toward center
"['dr', 'david', 'rachel', 'kerr', 'univers', 'oxford', 'present', 'suggest', 'guidanc', 'manag', 'patient', 'dure', 'novel', 'coronaviru', 'pandem']",1,dr david rachel kerr univers oxford present suggest guidanc manag patient dure novel coronaviru pandem
"['three', 'medic', 'stori', 'nt', 'cover', 'explain']",1,three medic stori nt cover explain
"['58year', 'old', 'woman', 'covid19', 'alter', 'mental', 'state', 'wa', 'diagnos', 'acut', 'necrot', 'encephalopathi']",1,58year old woman covid19 alter mental state wa diagnos acut necrot encephalopathi
"['steroid', 'becaus', 'known', 'adren', 'diseas', 'common', 'ailment', 'may', 'need', 'addit', 'stress', 'dose', 'iv', 'corticosteroid', 'case', 'sever', 'infect', 'covid19', 'endocrinologist', 'urg']",1,steroid becaus known adren diseas common ailment may need addit stress dose iv corticosteroid case sever infect covid19 endocrinologist urg
"['iranian', 'doctor', 'immigr', 'canada', 'share', 'report', 'outbreak', 'hi', 'home', 'countri']",1,iranian doctor immigr canada share report outbreak hi home countri
"['idsa', 'leader', 'warn', 'us', 'mortal', 'rate', 'like', 'climb', 'abov', 'previou', 'estim', 'unwind', 'covid19', 'pandem', 'fast']",1,idsa leader warn us mortal rate like climb abov previou estim unwind covid19 pandem fast
"['2', 'week', 'frontlin', 'detroit', 'treat', 'covid19', 'patient', 'nephrologist', 'joel', 'topf', 'provid', 'rundown', 'hi', 'clinic', 'observ']",1,2 week frontlin detroit treat covid19 patient nephrologist joel topf provid rundown hi clinic observ
"['consist', 'increas', 'intens', 'length', 'allergi', 'season', 'region', 'unit', 'state', 'signal', 'difficult', 'season', '2020', 'time', 'covid19', 'pandem', 'affect', 'commun']",1,consist increas intens length allergi season region unit state signal difficult season 2020 time covid19 pandem affect commun
"['coronaviru', 'stori', 'need', 'know', 'today']",1,coronaviru stori need know today
"['ad', 'clopidogrel', 'ad', 'efficaci', 'caus', 'addit', 'bleed', 'episod']",1,ad clopidogrel ad efficaci caus addit bleed episod
"['global', 'number', 'coronaviru', 'case', 'top', '1', 'million', 'thursday', 'accord', 'john', 'hopkin', 'coronaviru', 'resourc', 'center']",1,global number coronaviru case top 1 million thursday accord john hopkin coronaviru resourc center
"['research', 'focus', 'drug', 'call', 'tissu', 'plasminogen', 'activ', 'tpa', 'normal', 'use', 'quickli', 'dissolv', 'blood', 'clot', 'caus', 'stroke', 'heart', 'attack']",1,research focus drug call tissu plasminogen activ tpa normal use quickli dissolv blood clot caus stroke heart attack
"['recommend', 'also', 'appli', 'new', 'mom', 'hospit', 'doctor', 'suspect', 'may', 'diseas']",1,recommend also appli new mom hospit doctor suspect may diseas
"['onli', '12', 'facil', 'abl', 'get', 'supplement', 'ppe', 'feder', 'resourc', 'compar', '25', 'drawn', 'local', 'donat', '17', 'effort', 'cobbl', 'togeth', 'mask', 'gown', 'result', 'show', 'state', 'local', 'govern', 'suppli', 'ppe', '29', 'facil', 'survey']",1,onli 12 facil abl get supplement ppe feder resourc compar 25 drawn local donat 17 effort cobbl togeth mask gown result show state local govern suppli ppe 29 facil survey
"['countri', 'peopl', 'look', 'way', 'say', 'thank', 'share', 'hope', 'light']",1,countri peopl look way say thank share hope light
"['nation', 'largest', 'health', 'care', 'system', 'nearli', '500', 'case', 'thursday', '60', 'increas', 'sinc', 'tuesday', 'cb', 'newsreport']",1,nation largest health care system nearli 500 case thursday 60 increas sinc tuesday cb newsreport
"['two', 'tech', 'giant', 'foundat', 'commit', '25', 'help', 'fight', 'coronaviru', 'pandem']",1,two tech giant foundat commit 25 help fight coronaviru pandem
"['coronaviru', 'pandem', 'stress', 'us', 'health', 'care', 'system', 'person', 'protect', 'equip', 'includ', 'high', 'tech', 'mask', 'desper', 'short', 'suppli']",1,coronaviru pandem stress us health care system person protect equip includ high tech mask desper short suppli
"['coronaviru', 'stori', 'need', 'know', 'today']",1,coronaviru stori need know today
"['2020', 'guidelin', 'enforc', 'polici', 'face', 'mask', 'respir', 'us', 'food', 'drug', 'administr', 'fda']",1,2020 guidelin enforc polici face mask respir us food drug administr fda
"['gp', 'har', 'technolog', 'keep', 'offer', 'consult', 'dure', 'coronaviru']",1,gp har technolog keep offer consult dure coronaviru
"['three', 'medic', 'stori', 'nt', 'cover', 'explain']",1,three medic stori nt cover explain
"['model', 'analysi', 'base', 'hospit', 'financi', 'data', 'find', 'hospit', 'lose', 'big', 'buck', 'covid19', 'treatment', 'cancel', 'elect', 'procedur']",1,model analysi base hospit financi data find hospit lose big buck covid19 treatment cancel elect procedur
"['one', 'expert', 'suggest', 'viru', 'wane', 'dure', 'warmer', 'month', 'best', 'approach', 'practic', 'period', 'social', 'distanc']",1,one expert suggest viru wane dure warmer month best approach practic period social distanc
"['covid19', 'ha', 'caus', 'medic', 'confer', 'cancel', 'thi', 'spring', 'regular', 'attende', 'express', 'relief', 'thi', 'disrupt', 'lead', 'last', 'chang']",1,covid19 ha caus medic confer cancel thi spring regular attende express relief thi disrupt lead last chang
"['key', 'strategi', 'combat', 'widen', 'covid19', 'pandem', 'ha', 'focu', 'much', 'attent', 'make', 'thi', 'week', 'top', 'trend', 'clinic', 'topic']",1,key strategi combat widen covid19 pandem ha focu much attent make thi week top trend clinic topic
"['canadian', 'scientist', 'research', 'way', 'fight', 'prolifer', 'misinform', 'covid19', 'spread', 'almost', 'quickli', 'viru']",1,canadian scientist research way fight prolifer misinform covid19 spread almost quickli viru
"['committe', 'ha', 'issu', 'guid', 'principl', 'medic', 'school', 'consid', 'earli', 'graduat', 'final', 'year', 'medic', 'student', 'increas', 'staf', 'level', 'handl', 'covid19', 'patient']",1,committe ha issu guid principl medic school consid earli graduat final year medic student increas staf level handl covid19 patient
"['groceri', 'deliveri', 'takeout', 'food', 'bring', 'home', 'safe', 'middl', 'pandem', 'keep', 'home', 'clean', 'tip', 'trick', 'help', 'stay', 'safe']",1,groceri deliveri takeout food bring home safe middl pandem keep home clean tip trick help stay safe
"['research', 'say', 'elisa', 'work', 'like', 'antibodi', 'test', 'virus', 'hepat', 'b', 'show', 'whether', 'immun', 'system', 'bodi', 'defens', 'germ', 'made', 'contact', 'sar', 'cov2', 'even', 'month', 'befor']",1,research say elisa work like antibodi test virus hepat b show whether immun system bodi defens germ made contact sar cov2 even month befor
"['take', 'part', 'instagram', 'live', 'video', 'nba', 'superstar', 'stephen', 'curri', 'fauci', 'said', 'real', 'idea', 'happen', 'summer', 'come', 'thi', 'point', 'know', 'said', 'new', 'coronaviru']",1,take part instagram live video nba superstar stephen curri fauci said real idea happen summer come thi point know said new coronaviru
"['report', 'earlier', 'thursday', 'us', 'ha', 'coronaviru', 'case', 'countri', 'presid', 'donald', 'trump', 'told', 'report']",1,report earlier thursday us ha coronaviru case countri presid donald trump told report
"['take', 'multipl', 'measur', 'social', 'distanc', 'slow', 'spread', 'new', 'coronaviru', 'studi', 'singapor', 'conclud']",1,take multipl measur social distanc slow spread new coronaviru studi singapor conclud
"['us', 'center', 'diseas', 'control', 'prevent', 'ha', 'post', 'new', 'coronaviru', 'self', 'checker', 'websit', 'might', 'eas', 'mind', 'steer', 'toward', 'ani', 'medic', 'help', 'might', 'need']",1,us center diseas control prevent ha post new coronaviru self checker websit might eas mind steer toward ani medic help might need
"['although', 'unit', 'state', 'miss', 'chanc', 'head', 'covid19', 'epidem', 'well', 'way', 'becom', 'pandem', 'new', 'epicent', 'lesson', 'drawn', 'countri', 'could', 'still', 'use', 'help', 'manag', 'infect', 'month', 'year', 'ahead', 'adalja', 'kullar', 'said']",1,although unit state miss chanc head covid19 epidem well way becom pandem new epicent lesson drawn countri could still use help manag infect month year ahead adalja kullar said
"['teacher', 'across', 'countri', 'come', 'way', 'keep', 'student', 'engag', 'motiv', 'cheer', 'dure', 'coronaviru', 'pandem']",1,teacher across countri come way keep student engag motiv cheer dure coronaviru pandem
"['franc', 'ha', 'four', 'time', 'mani', 'death', 'germani', 'britain', 'ha', 'twice', 'mani', 'even', 'though', 'countri', 'fewer', 'report', 'infect']",1,franc ha four time mani death germani britain ha twice mani even though countri fewer report infect
"['justic', 'depart', 'offici', 'provid', 'detail', 'threat', 'fauci', 'extent', 'protect', 'receiv', 'cb', 'newsreport']",1,justic depart offici provid detail threat fauci extent protect receiv cb newsreport
"['quasi', 'lockdown', 'latest', 'seri', 'measur', 'taken', 'bureau', 'respons', 'coronaviru', 'pandem']",1,quasi lockdown latest seri measur taken bureau respons coronaviru pandem
"['believ', 'brain', 'damag', 'viral', 'infect', 'whenev', 'patient', 'immun', 'system', 'overreact', 'viru', 'thi', 'immun', 'system', 'hyperact', 'trigger']",1,believ brain damag viral infect whenev patient immun system overreact viru thi immun system hyperact trigger
"['anoth', 'covid19', 'vaccin', 'test', 'mice']",1,anoth covid19 vaccin test mice
"['video', 'ha', 'receiv', '700000', 'view', 'sinc', 'wa', 'post', 'saturday']",1,video ha receiv 700000 view sinc wa post saturday
"['covid19', 'pandem', 'chang', 'practic', 'medicin', 'dermatologist', 'help', 'specialist', 'embrac', 'virtual', 'visit', 'patient', 'staff', 'safe', 'resourc', 'wast']",1,covid19 pandem chang practic medicin dermatologist help specialist embrac virtual visit patient staff safe resourc wast
"['new', 'york', 'med', 'school', 'ask', 'fourth', 'year', 'student', 'graduat', 'earli', 'volunt', 'help', 'battl', 'covid', 'one', 'student', 'discuss', 'weigh', 'potenti', 'life', 'death', 'decis', 'join', 'front', 'line']",1,new york med school ask fourth year student graduat earli volunt help battl covid one student discuss weigh potenti life death decis join front line
"['chines', 'research', 'report', 'staff', 'member', 'diagnos', 'covid19', 'strict', 'protect', 'measur', 'screen', 'manag', 'patient', 'cancer', 'implement']",1,chines research report staff member diagnos covid19 strict protect measur screen manag patient cancer implement
"['psychologist', 'psychotherapist', 'social', 'worker', 'us', 'canada', 'form', 'network', 'offer', 'free', 'psychotherapi', 'session', 'healthcar', 'worker', 'frontlin', 'covid19', 'pandem']",1,psychologist psychotherapist social worker us canada form network offer free psychotherapi session healthcar worker frontlin covid19 pandem
"['one', 'fifth', 'patient', 'treat', 'gynecolog', 'malign', 'experi', 'financi', 'toxic', 'result', 'singl', 'center', 'studi', 'suggest']",1,one fifth patient treat gynecolog malign experi financi toxic result singl center studi suggest
"['befor', 'wa', 'potenti', 'covid19', 'therapi', 'wa', 'well', 'studi', 'treatment', 'establish', 'risk', 'retin', 'toxic']",1,befor wa potenti covid19 therapi wa well studi treatment establish risk retin toxic
"['shop', 'groceri', 'carri', 'essenti', 'duti', 'public', 'peopl', 'could', 'wear', 'scarv', 'concern', 'contract', 'covid19', 'presid', 'donald', 'trump', 'said', 'wednesday']",1,shop groceri carri essenti duti public peopl could wear scarv concern contract covid19 presid donald trump said wednesday
"['cdc', 'say', 'chanc', 'get', 'sever', 'covid19', 'higher', 'diabet', 'chronic', 'lung', 'diseas', 'heart', 'diseas', 'health', 'problem']",1,cdc say chanc get sever covid19 higher diabet chronic lung diseas heart diseas health problem
"['us', 'report', 'singl', 'deadliest', 'day', '785', 'death', 'number', 'death', 'case', 'continu', 'soar', 'countri']",1,us report singl deadliest day 785 death number death case continu soar countri
"['countri', 'must', 'unit', 'win', 'world', 'war', 'c', 'covid19', 'pandem', 'said', 'tom', 'frieden', 'md', 'former', 'cdc', 'director']",1,countri must unit win world war c covid19 pandem said tom frieden md former cdc director
"['nearli', 'half', 'american', 'high', 'blood', 'pressur', 'accord', 'american', 'heart', 'associ', 'aha']",1,nearli half american high blood pressur accord american heart associ aha
"['38', 'patient', 'covid19', 'dozen', 'also', 'pink', 'eye', 'conjunct', 'new', 'studi', 'found', 'two', 'patient', 'coronaviru', 'wa', 'present', 'nasal', 'eye', 'fluid']",1,38 patient covid19 dozen also pink eye conjunct new studi found two patient coronaviru wa present nasal eye fluid
"['widespread', 'fear', 'ha', 'led', 'thousand', 'peopl', 'call', 'medic', 'helplin', 'rather', 'enter', 'hospit', 'full', 'sick', 'peopl']",1,widespread fear ha led thousand peopl call medic helplin rather enter hospit full sick peopl
"['one', 'cnn', 'top', 'anchor', 'chri', 'cuomo', 'ha', 'diagnos', 'coronaviru', 'continu', 'work', 'home', 'announc', 'hi', 'twitter', 'feed', 'tuesday']",1,one cnn top anchor chri cuomo ha diagnos coronaviru continu work home announc hi twitter feed tuesday
"['arizona', 'gov', 'doug', 'ducey', 'virginia', 'gov', 'ralph', 'northam', 'issu', 'statewid', 'stay', 'home', 'order', 'monday', 'becom', 'latest', 'governor', 'take', 'action', 'becaus', 'coronaviru', 'pandem']",1,arizona gov doug ducey virginia gov ralph northam issu statewid stay home order monday becom latest governor take action becaus coronaviru pandem
"['singer', 'songwrit', 'imagin', 'librari', 'say', 'new', 'video', 'seri', 'call', 'goodnight', 'dolli']",1,singer songwrit imagin librari say new video seri call goodnight dolli
"['suspect', 'got', 'close', 'long', 'someon', 'cough', 'harm', 'chang', 'cloth', 'wash', 'right', 'away', 'especi', 'hard', 'surfac', 'like', 'button', 'zipper', 'viru', 'might', 'linger']",1,suspect got close long someon cough harm chang cloth wash right away especi hard surfac like button zipper viru might linger
"['itali', 'wa', 'slow', 'enact', 'social', 'distanc', 'order', 'follow', 'first', 'report', 'covid19', 'case', 'countri', 'factor', 'expert', 'believ', 'may', 'play', 'part', 'quickli', 'coronaviru', 'case', 'overwhelm', 'nation', 'hospit']",1,itali wa slow enact social distanc order follow first report covid19 case countri factor expert believ may play part quickli coronaviru case overwhelm nation hospit
"['new', 'studi', 'research', 'team', 'track', 'data', '206', 'patient', 'mild', 'covid19', 'nearli', 'one', 'quarter', '48', 'digest', 'symptom', 'onli', '69', 'display', 'digest', 'respiratori', 'symptom', '89', 'respiratori', 'symptom', 'onli']",1,new studi research team track data 206 patient mild covid19 nearli one quarter 48 digest symptom onli 69 display digest respiratori symptom 89 respiratori symptom onli
"['chloroquin', 'approv', 'unit', 'state', 'treat', 'malaria', 'lupu', 'rheumatoid', 'arthriti', 'presid', 'donald', 'trump', 'ha', 'promot', 'possibl', 'treatment', 'covid19', 'cnn', 'report']",1,chloroquin approv unit state treat malaria lupu rheumatoid arthriti presid donald trump ha promot possibl treatment covid19 cnn report
"['seri', 'recent', 'mandat', 'aim', 'address', 'barrier', 'telehealth', 'come', 'time', 'desper', 'one', 'new', 'york', 'base', 'cardiologist', 'say']",1,seri recent mandat aim address barrier telehealth come time desper one new york base cardiologist say
"['rate', 'increas', 'patient', 'need', 'icu', 'bed', 'area', 'badli', 'affect', 'covid19', 'doubl', 'everi', '3', '5', 'day', 'month', 'patient', 'stay', 'averag', '15', 'day', 'flexibl', 'imper']",1,rate increas patient need icu bed area badli affect covid19 doubl everi 3 5 day month patient stay averag 15 day flexibl imper
"['fast', 'pace', 'pandem', 'mean', 'physician', 'make', 'decis', 'absenc', 'ani', 'consensu', 'guidanc', 'turn', 'social', 'media', 'profession', 'feedback']",1,fast pace pandem mean physician make decis absenc ani consensu guidanc turn social media profession feedback
"['across', 'countri', 'volunt', 'cobbl', 'togeth', 'improvis', 'person', 'protect', 'equip', 'suppli', 'health', 'care', 'worker', 'scroung', 'protect']",1,across countri volunt cobbl togeth improvis person protect equip suppli health care worker scroung protect
"['combin', 'quarantin', 'school', 'closur', 'work', 'home', 'measur', 'effect', 'way', 'prevent', 'spread', 'covid19', 'accord', 'new', 'studi']",1,combin quarantin school closur work home measur effect way prevent spread covid19 accord new studi
"['coronaviru', 'stori', 'need', 'know', 'today']",1,coronaviru stori need know today
"['final', 'year', 'medic', 'student', 'wait', 'hear', 'emerg', 'arrang', 'made', 'allow', 'acceler', 'onto', 'nh', 'frontlin']",1,final year medic student wait hear emerg arrang made allow acceler onto nh frontlin
"['2020', 'covid19', 'guidanc', 'urgent', 'nonurg', 'patient', 'care', 'ophthalmolog']",1,2020 covid19 guidanc urgent nonurg patient care ophthalmolog
"['three', 'meet', 'set', 'begin', 'may', 'rapidli', 'chang', 'global', 'develop', 'taken', 'diverg', 'path']",1,three meet set begin may rapidli chang global develop taken diverg path
"['monday', 'white', 'hous', 'press', 'brief', 'presid', 'donald', 'trump', 'hint', 'slowdown', 'stop', 'spread', 'covid', '19', 'may', 'briefer', 'origin', 'predict']",1,monday white hous press brief presid donald trump hint slowdown stop spread covid 19 may briefer origin predict
"['may', 'alreadi', 'heard', 'coronaviru', 'myth', 'subscrib', 'could', 'best', 'mean', 'wast', 'effort', 'worst', 'make', 'even', 'vulner', 'get', 'ill']",1,may alreadi heard coronaviru myth subscrib could best mean wast effort worst make even vulner get ill
"['thi', 'summer', 'olymp', 'plan', 'begin', 'juli', 'tokyo', 'delay', 'least', '2021', 'intern', 'olymp', 'committe', 'presid', 'thoma', 'bach', 'japanes', 'prime', 'minist', 'abe', 'shinzo', 'said', 'joint', 'statement', 'tuesday']",1,thi summer olymp plan begin juli tokyo delay least 2021 intern olymp committe presid thoma bach japanes prime minist abe shinzo said joint statement tuesday
"['center', 'diseas', 'control', 'prevent', 'gave', 'huge', 'citi', 'roughli', 'number', 'test', 'kit', 'rural', 'spot', 'crippl', 'effort', 'health', 'offici', 'contain', 'viru']",1,center diseas control prevent gave huge citi roughli number test kit rural spot crippl effort health offici contain viru
"['agenc', 'ha', 'issu', 'warn', 'letter', 'compani', 'sell', 'promot', 'fake', 'test', 'kit', 'ha', 'also', 'step', 'enforc', 'port', 'entri', 'includ', 'intern', 'mail', 'facil', 'prevent', 'fake', 'kit', 'countri', 'get', 'unit', 'state']",1,agenc ha issu warn letter compani sell promot fake test kit ha also step enforc port entri includ intern mail facil prevent fake kit countri get unit state
"['research', 'found', 'front', 'line', 'health', 'care', 'worker', 'wuhan', 'epicent', 'pandem', 'much', 'like', 'report', 'depress', 'anxieti', 'insomnia', 'peopl', 'work', 'elsewher', 'china']",1,research found front line health care worker wuhan epicent pandem much like report depress anxieti insomnia peopl work elsewher china
"['fda', 'okd', 'test', 'new']",1,fda okd test new
"['becaus', 'new', 'coronaviru', 'spread', 'peopl', 'close', 'contact', 'cdc', 'urg', 'senior', 'keep', 'safe', 'distanc', 'avoid', 'get', 'sick']",1,becaus new coronaviru spread peopl close contact cdc urg senior keep safe distanc avoid get sick
"['bottom', 'line', 'good', 'time', 'defer', 'medic', 'treatment', 'phone', 'video', 'possibl', 'instead', 'person']",1,bottom line good time defer medic treatment phone video possibl instead person
"['new', 'york', 'governor', 'andrew', 'cuomo', 'issu', 'execut', 'order', 'direct', 'hospit', 'increas', 'capac', 'least', '50']",1,new york governor andrew cuomo issu execut order direct hospit increas capac least 50
"['action', 'enabl', 'governor', 'provid', 'robust', 'nation', 'guard', 'support', 'state']",1,action enabl governor provid robust nation guard support state
"['retail', 'rush', 'keep', 'shelv', 'stock', 'sanit', 'donat', 'food', 'bank', 'drop', 'steepli']",1,retail rush keep shelv stock sanit donat food bank drop steepli
"['expert', 'provid', 'key', 'insight', 'keep', 'staff', 'patient', 'busi', 'safe', 'dure', 'pandem']",1,expert provid key insight keep staff patient busi safe dure pandem
"['addit', 'challeng', 'coronaviru', 'pandem', 'alreadi', 'pose', 'women', 'seek', 'healthcar', 'sever', 'state', 'includ', 'surgic', 'abort', 'restrict', 'procedur', 'execut', 'order', 'relat', 'covid19']",1,addit challeng coronaviru pandem alreadi pose women seek healthcar sever state includ surgic abort restrict procedur execut order relat covid19
"['dr', 'jeffrey', 'lieberman', 'worri', 'well', 'establish', 'mental', 'ill', 'navig', 'thi', 'unpreced', 'moment']",1,dr jeffrey lieberman worri well establish mental ill navig thi unpreced moment
"['new', 'articl', 'set', 'stage', 'routin', 'virtual', 'diabet', 'visit', 'offer', '10', 'top', 'tip', 'undoubtedli', 'use', 'transform', 'care', 'dure', 'covid19', 'pandem', 'like', 'long', 'afterward']",1,new articl set stage routin virtual diabet visit offer 10 top tip undoubtedli use transform care dure covid19 pandem like long afterward
"['fda', 'ha', 'approv', 'machineri', 'disinfect', 'n95', 'respir', 'mask', 'mean', 'mask', 'could', 'reus', 'health', 'care', 'worker', 'presid', 'donald', 'trump', 'said', 'monday', 'white', 'hous', 'news', 'brief']",1,fda ha approv machineri disinfect n95 respir mask mean mask could reus health care worker presid donald trump said monday white hous news brief
"['fda', 'say', 'hospit', 'may', 'get', 'creativ', 'get', 'overwhelm', 'covid19', 'patient', 'need', 'lifesav', 'ventil']",1,fda say hospit may get creativ get overwhelm covid19 patient need lifesav ventil
"['johnson', 'johnson', 'said', 'monday', 'human', 'clinic', 'trial', 'covid19', 'vaccin', 'ha', 'develop', 'start', 'septemb']",1,johnson johnson said monday human clinic trial covid19 vaccin ha develop start septemb
"['compani', 'around', 'world', 'give', 'free', 'food', 'servic', 'product', 'health', 'care', 'worker', 'risk', 'live', 'help', 'coronaviru', 'pandem']",1,compani around world give free food servic product health care worker risk live help coronaviru pandem
"['studi', 'five', 'critic', 'ill', 'patient', 'near', 'initi', 'epicent', 'novel', 'coronaviru', 'pandem', 'found', 'five', 'patient', 'surviv', 'covid19', 'follow', 'transfus']",1,studi five critic ill patient near initi epicent novel coronaviru pandem found five patient surviv covid19 follow transfus
"['develop', 'us', 'chines', 'research', 'artifici', 'intellig', 'ai', 'program', 'ha', 'test', 'two', 'hospit', 'china', '53', 'patient', 'diagnos', 'januari', 'covid19', 'new', 'tool', 'consid', 'experiment', 'test']",1,develop us chines research artifici intellig ai program ha test two hospit china 53 patient diagnos januari covid19 new tool consid experiment test
"['thi', 'method', 'ha', 'long', 'use', 'decontamin', 'equip', 'wayn', 'thomann', 'director', 'emeritu', 'duke', 'occup', 'environment', 'safeti', 'offic', 'toldcb', 'news']",1,thi method ha long use decontamin equip wayn thomann director emeritu duke occup environment safeti offic toldcb news
"['case', '104bed', 'pleasant', 'view', 'nurs', 'home', 'mount', 'airi', 'increas', 'maryland', 'total', 'number', 'confirm', 'infect', '1200', 'weekend']",1,case 104bed pleasant view nurs home mount airi increas maryland total number confirm infect 1200 weekend
"['field', 'hospit', 'javit', 'convent', 'center', 'manhattan', 'meant', 'free', 'hospit', 'citi', 'boost', 'fight', 'new', 'coronaviru', 'cb', 'newsreport']",1,field hospit javit convent center manhattan meant free hospit citi boost fight new coronaviru cb newsreport
"['hour', 'long', 'benefit', 'concert', 'rais', 'money', 'peopl', 'affect', 'coronaviru', 'pandem', 'musician', 'includ', 'mariah', 'carey', 'billi', 'eilish', 'alicia', 'key', 'dave', 'grohl', 'perform', 'home']",1,hour long benefit concert rais money peopl affect coronaviru pandem musician includ mariah carey billi eilish alicia key dave grohl perform home
"['grandpar', 'countri', 'stuck', 'home', 'quarantin', 'unabl', 'visit', 'children', 'grandchildren', 'get', 'creativ', 'gain', 'sort', 'contact']",1,grandpar countri stuck home quarantin unabl visit children grandchildren get creativ gain sort contact
"['research', 'univers', 'massachusett', 'umass', 'amherst', 'report', 'n95', 'mask', 'steril', 'hydrogen', 'peroxid', 'block', 'infecti', 'particl', 'effect', 'new', 'mask']",1,research univers massachusett umass amherst report n95 mask steril hydrogen peroxid block infecti particl effect new mask
"['intens', 'care', 'unit', 'besieg', 'hospit', 'new', 'york', 'citi', 'take']",1,intens care unit besieg hospit new york citi take
"['convent', 'wisdom', 'secret', 'sauc', 'fight', 'pandem', 'test', 'viru', 'without', 'test', 'strategi', 'faith', 'base', 'differ', 'test', 'neg']",1,convent wisdom secret sauc fight pandem test viru without test strategi faith base differ test neg
"['mani', 'us', 'healthcar', 'worker', 'start', 'thi', 'year', 'alreadi', 'suffer', 'burnout', 'worst', 'wa', 'yet', 'come']",1,mani us healthcar worker start thi year alreadi suffer burnout worst wa yet come
"['aim', 'support', 'cash', 'flow', 'dure', 'covid19', 'emerg', 'provid', 'start', 'repay', 'medicar', '120day', 'grace', 'period']",1,aim support cash flow dure covid19 emerg provid start repay medicar 120day grace period
